File,ADJ,ADP,ADV,CONJ,DET,NUM,PRT,PRON,VERB,auth_vocabsize,type_token_rt,avg_author_word_length,avg_tweet_length,avg_author_hashtag_count,avg_author_usertag_count,avg_author_urltag_count,author_avg_emoji,avg_capital_lower_ratio,VADER-pos,VADER-neut,VADER-neg,VADER-compound,mult-ex,mult-qu,mult-pe,quote,ex,qu,pe,LiXScore,label
10ab2dd4ee613f404dea447947d4ced6,1.45,1.725,1.52,0.475,1.605,0.125,0.69,2.225,4.375,6.245,0.27565658794968,3.896711542705805,109.935,0.375,4.685,0.285,0.025,0.048491715208653,0.1744668664818623,0.1831133528719301,0.1135198220576477,0.5988844311509526,0.0,0.02,0.15,0.05,0.035,0.535,1.525,26.06488263393669,I
10c5a772d6040446e6a5b337a1602429,1.73,2.255,1.33,0.63,1.99,0.185,0.73,2.03,5.045,8.52,0.3341176470588235,3.882941176470588,123.515,0.5,1.31,0.17,0.155,0.0706865117911598,0.0995825662453021,0.1100826394123978,0.0453286609111718,0.4127251468895492,0.005,0.0,0.0,0.15,0.205,0.37,1.54,29.51122746093592,I
10f3590ec6f055097a98bde11fbc2451,1.34,2.15,1.285,0.635,1.84,0.25,0.73,1.795,4.1,7.65,0.338720389639141,4.099402258135931,114.17,0.62,1.93,0.145,0.03,0.0641182126979164,0.0878308032526174,0.0639623912936344,0.043338060639581,0.6894405757568959,0.03,0.0,0.265,0.015,0.135,0.085,1.565,28.557916885066607,I
113291a148cd55140fd2819e9299e239,2.76,2.455,1.445,1.04,1.86,0.85,0.565,1.67,4.405,9.99,0.3306304815488995,4.601025980473275,168.235,0.15,0.165,0.93,0.595,0.0627966665796526,0.0510954988232818,0.1720949955693075,0.1917177287055112,0.6218572364297131,0.005,0.01,0.36,0.055,0.005,0.115,0.44,45.49575409049719,NI
1136f2bf0376cba4e93913b447fb5517,3.035,3.655,2.035,0.655,1.035,0.545,1.34,3.33,6.795,10.345,0.2716649159663865,4.289259453781512,200.415,0.0,0.645,0.3,0.0,0.0502893609284893,0.0449075439096818,0.0787126895741722,0.0370236410959268,0.1145712523934341,0.01,0.0,0.01,0.12,0.015,0.485,1.795,42.03481087412774,NI
11790334350e58e6c92fdeb1d10bc161,2.11,2.03,1.465,0.775,1.66,0.19,0.86,1.265,3.77,10.315,0.3805570927873086,4.05515587529976,136.02,1.905,0.52,0.82,0.28,0.148471632493447,0.1304288599198812,0.162435179379345,0.0970283463736242,0.6340038894793942,0.01,0.09,0.7,0.025,0.03,0.125,1.54,28.68886034950344,I
120fbd774da20ff47634965e797bed1b,0.955,1.305,0.225,0.145,0.275,0.315,0.4,0.22,1.69,7.85,0.5929003021148036,4.7080815709969785,74.575,0.0,0.0,1.01,0.0,0.1302329364125044,0.2061140461006964,0.2061140461006964,0.0,0.3788861141556919,0.0,0.0,0.0,0.0,0.01,0.065,0.1,38.91498066145428,NI
1314f59250b882f9bf7edfedc5f42acd,1.915,2.67,1.55,0.895,2.2,0.4,1.145,1.95,5.02,9.415,0.3259477237320408,4.170503721654838,148.35,0.065,1.53,0.04,0.015,0.0443303176959954,0.0587664870483169,0.0384991883031317,0.0906972987469858,0.7292399137972359,0.005,0.015,1.09,0.185,0.045,0.275,0.47,32.28614829524021,I
13b38d8b832947f13ad09d43001015e6,0.865,1.405,0.26,0.155,0.335,0.32,0.39,0.175,1.675,8.09,0.5968277388417558,4.715603098487643,76.475,0.0,0.0,1.0,0.0,0.1345477330941723,0.1312154716487351,0.0634428877022476,0.1090573243757612,0.5656494718463017,0.0,0.0,0.0,0.02,0.01,0.035,0.095,40.12462023086939,NI
13d0eb64b78ee8f18806ea5b58e344e7,2.47,2.68,2.155,0.825,1.92,0.32,0.84,3.21,6.405,9.53,0.2894017613118737,3.880352262374734,159.71,0.0,0.0,0.06,0.0,0.0563815787284275,0.0394041558721919,0.0624599871918014,0.0964297023743203,0.5226943579904034,0.015,0.0,2.66,0.465,0.05,0.245,0.075,24.48290867047592,NI
14c6666bf57dc5b6f5334ed8a65bffd4,1.84,2.29,1.795,0.515,1.85,0.22,0.7,1.79,4.005,8.305,0.3512370480016917,3.9128779868894057,115.165,0.215,1.68,0.075,0.3,0.0654239535649828,0.0285788383248864,0.1728805584789683,0.1591137564763022,0.4044056588068471,0.0,0.0,0.21,0.24,0.375,0.31,0.77,30.26732378488558,I
15177d59a5817ec8349c9d573dc5b2dd,1.865,2.27,1.47,0.605,2.3,0.32,0.87,1.74,4.9,9.08,0.3473603672532517,4.076511094108645,131.7,0.12,1.015,0.62,0.01,0.0641891542732031,0.0917932459389033,0.0917932459389033,0.0,0.3237697445716631,0.005,0.02,0.46,0.075,0.045,0.22,1.1,31.264873863982924,I
15ab46279113c0ab0874d1d7b0fa4230,1.4,2.36,1.37,0.48,1.965,0.45,0.77,1.945,4.16,8.505,0.3631511528608027,3.9814261315115287,115.665,0.06,1.395,0.31,0.025,0.0582745620824186,0.1142289367892391,0.0939903585480979,0.0627868417743717,0.5445346866821249,0.0,0.005,0.005,0.05,0.0,0.17,0.4,33.7944033176354,I
